TeamId,TeamName,SubmissionDate,Score
8478342,qihuaz,"2022-05-07 21:26:53",1658.2
8472697,"Shuntaro Tanaka","2022-05-10 03:45:02",1541.7
8503796,"R(u)L(e) based agent","2022-05-07 20:29:15",1380.3
8481047,"Gregor Lied","2022-05-11 09:07:00",1351.4
8549029,LiamKirwin,"2022-05-07 08:40:57",1327.0
8471363,"why not?","2022-05-10 21:30:10",1307.8
8469222,EG,"2022-05-10 08:18:34",1257.9
8569659,"Harm Buisman","2022-05-10 19:29:35",1228.0
8539491,"Manuel Campos","2022-05-11 05:26:29",1166.5
8496366,basilisk1337,"2022-05-08 18:42:49",1163.5
8469528,robga,"2022-04-20 16:07:25",1159.4
8500149,Kirderf,"2022-05-11 09:36:44",1122.8
8507937,shichuanqi,"2022-05-07 10:57:56",1096.9
8481936,"ma 127","2022-05-10 13:55:07",1090.9
8542096,Garrus,"2022-05-10 17:51:43",1053.7
8478784,bomac1,"2022-05-10 20:09:36",1038.1
8474592,Thomas,"2022-05-05 16:41:30",1031.7
8562704,"Jin Niu","2022-05-10 18:07:59",1029.6
8469753,GarrieD,"2022-05-06 17:32:01",1025.0
8474836,"Khalil Barbouchi","2022-04-15 14:45:36",1018.4
8587689,JieDeng_sc,"2022-05-11 01:20:33",1005.8
8509757,"Marek Nurzynski","2022-04-26 15:39:21",1004.1
8499507,digimagi,"2022-05-08 01:58:30",1002.5
8473982,"RL is all you need","2022-05-06 13:49:22",991.1
8481641,"Jean-Philippe MARY","2022-04-19 13:27:04",987.2
8497147,"Harijs Ceriņš","2022-05-11 06:07:33",985.9
8477342,"Dr Kore","2022-05-03 17:23:04",985.5
8560782,yjcqwq,"2022-05-01 10:42:58",983.3
8586825,"Andrej Marinchenko","2022-05-10 16:12:58",979.4
8500086,"Antonio Marin","2022-04-19 06:32:05",977.1
8562838,"Léon Smeets","2022-05-05 17:02:03",976.9
8498610,MPWARE,"2022-05-08 08:44:46",974.3
8480310,mafuf,"2022-05-09 07:02:33",973.4
8477093,"Nguyễn Hưng","2022-04-16 07:35:12",973.4
8479379,"Ulrich G.","2022-05-06 08:50:39",967.5
8489864,"Tong Hui Kang","2022-04-26 06:28:48",965.7
8489689,"Satoshi Datamoto","2022-04-19 09:33:54",965.3
8493238,"Max Pridy","2022-05-09 13:21:04",964.9
8579565,Andrij,"2022-05-08 18:59:53",964.4
8568177,Wolf7428,"2022-05-02 22:49:10",962.7
8470837,UnfriendlyAI,"2022-05-07 10:04:45",961.8
8594610,"Roland Luethy","2022-05-10 03:01:45",959.0
8471303,MA,"2022-05-03 13:42:30",958.8
8512651,"Hiroshi Sakiyama","2022-04-25 09:35:32",958.4
8481221,7200,"2022-04-30 01:25:21",957.1
8485454,"Ming Fong","2022-04-16 06:34:11",955.6
8565264,"Miyuki Suzuki","2022-05-04 10:38:38",955.4
8469252,Checkmate,"2022-04-30 07:20:01",954.5
8566672,"Vicens Gaitan","2022-05-04 07:39:38",953.3
8475291,Lumos,"2022-04-22 01:31:00",952.3
8479169,rc95401,"2022-05-09 18:33:55",951.2
8573842,TheTrilogy,"2022-05-08 05:19:04",949.6
8478955,oliver,"2022-04-28 17:22:17",949.0
8473635,"Mark Conway","2022-04-15 16:57:05",947.5
8489545,"Akira Hirohashi","2022-05-10 14:59:38",946.0
8534497,"Of Kores","2022-04-29 05:28:42",944.8
8483426,"Jack Trainer","2022-04-21 16:00:29",942.0
8503292,onufrtany,"2022-04-19 17:42:01",940.0
8483163,MaNiAC,"2022-04-20 15:52:49",939.9
8470010,AggressivePizza,"2022-04-24 20:24:15",939.8
8478389,GameMaker1997,"2022-04-19 17:38:33",939.0
8475723,weizhi,"2022-04-23 09:19:29",938.3
8469525,SkylarkPhantom,"2022-04-18 02:27:43",936.9
8488764,lukas,"2022-04-17 15:20:16",935.5
8545416,KoreKore,"2022-04-28 02:02:38",935.1
8559529,"m7md albaddawi","2022-05-01 05:24:26",933.9
8470047,simulator_55,"2022-04-17 18:36:18",932.7
8494582,hya14217,"2022-04-18 18:28:26",929.5
8475062,horohoro,"2022-05-11 05:18:53",929.3
8606645,"Andreas Gravrok","2022-05-11 05:00:24",929.1
8531533,kibuna,"2022-04-25 12:24:55",928.5
8578588,"taichi boy","2022-05-08 11:24:53",928.1
8504592,0ct0pus,"2022-04-25 09:40:00",926.9
8470985,"We love DQN","2022-04-28 21:05:03",924.5
8471843,"Dmitry Kozlov","2022-05-08 19:21:03",924.2
8498452,"Ehab Yahia","2022-04-19 19:48:30",923.9
8470120,"Ode To The Kore","2022-04-26 08:41:06",921.9
8486105,"All the fantasy","2022-05-06 06:59:04",919.1
8471958,LIA,"2022-04-13 10:04:16",914.7
8479900,"Benjamin Kovacs","2022-04-15 05:09:56",912.3
8555333,"Lawrence Chernin","2022-04-29 22:08:40",907.4
8552714,kojimar,"2022-05-01 16:55:06",902.0
8516920,"David cao","2022-04-22 08:01:53",901.0
8520879,"Dominique Nocito","2022-05-01 16:19:29",900.4
8594766,Cracroule,"2022-05-10 02:03:33",888.5
8475488,Cabbage,"2022-04-14 08:07:20",881.5
8509586,brassmonkey,"2022-05-07 17:03:32",873.4
8472086,"Dewei Chen","2022-04-17 06:33:49",871.7
8560596,"Maxime VEDELAGO","2022-05-08 12:54:13",837.7
8527324,caphosra,"2022-05-06 00:30:16",833.0
8469980,"Edward Crookenden","2022-04-12 23:33:56",811.6
8548324,"Ruddy Guerrero Alvarez","2022-05-10 22:08:26",800.9
8586771,Shnu,"2022-05-08 02:24:56",800.3
8498183,fluffydog234,"2022-04-18 20:27:21",799.5
8499588,"Chan ","2022-04-22 08:43:04",796.7
8557935,"dragon zhang","2022-04-30 15:27:34",792.2
8533433,Sold,"2022-05-01 12:43:22",790.9
8476014,Hoizzto,"2022-04-17 23:42:27",788.1
8495501,"Invader AI","2022-04-18 10:08:16",786.8
8477049,"Abid Ali Awan","2022-05-09 04:09:44",781.5
8478453,"Mike Parker","2022-04-26 14:49:55",780.9
8487742,"Isaac Lambert","2022-04-16 16:00:39",777.9
8523788,Nawatix,"2022-05-08 16:38:00",776.2
8522956,KNakamuta,"2022-04-29 23:33:52",774.9
8469240,endboss,"2022-04-15 05:06:14",765.3
8488706,"Lu Veasey","2022-04-16 22:19:13",747.5
8552207,Skril,"2022-05-08 09:34:48",736.4
8582684,aledovsky,"2022-05-05 21:50:15",718.0
8538786,"Marek Krupa","2022-05-11 00:59:31",710.1
8514634,"Ilin Pavel","2022-04-23 20:35:09",706.7
8570055,"Yves Delley","2022-05-11 05:52:41",706.2
8473960,bigbozu,"2022-04-26 09:05:38",706.2
8469421,obkyrush,"2022-04-13 07:21:58",700.2
8548699,Arc,"2022-05-04 20:25:42",695.8
8478491,DungMaster,"2022-04-16 01:39:53",693.8
8540858,"Asis Rangel","2022-04-29 23:15:59",693.7
8470422,Tinee9,"2022-04-13 05:25:43",691.2
8538435,"Jon Koh","2022-04-28 01:28:19",688.0
8577494,"Randon Fullmer","2022-05-06 17:57:13",687.4
8477270,DJ,"2022-04-21 14:26:49",683.0
8484736,Stochoshi,"2022-05-08 17:45:59",681.6
8471393,"Lennart Haupts","2022-04-18 19:38:50",672.6
8534909,"Heriberto Rangel Robles","2022-04-28 02:31:31",665.8
8518722,"Mikhail Gurevich","2022-05-07 07:50:24",664.0
8468883,Bovard,"2022-04-12 20:17:10",662.1
8565675,"whoami is back","2022-05-05 13:18:25",654.4
8577654,Alehandreus,"2022-05-06 09:11:55",652.0
8487443,nibarg,"2022-04-19 00:47:50",647.9
8527435,Machinehead,"2022-05-02 20:37:07",642.9
8479944,kgareth,"2022-04-15 04:23:49",629.8
8510608,KoreBOT,"2022-04-29 16:34:34",623.4
8475626,"Zhu Liang","2022-05-11 05:00:05",622.3
8471579,"Hideaki Yamamoto","2022-04-20 03:14:36",619.5
8522446,"Elter Zet","2022-04-23 18:41:02",615.3
8491078,"jake forsey","2022-04-26 21:17:01",608.8
8581275,nhlx5haze,"2022-05-10 09:09:49",606.5
8479077,"Arsh Kon","2022-04-16 04:04:46",578.8
8511668,"Simone Guidolin","2022-04-23 15:37:54",559.7
8490392,takumi_hayashi,"2022-05-07 09:58:09",540.9
8470934,"resistance is futile","2022-05-11 06:02:51",537.3
8586169,"Keith Campion","2022-05-09 20:57:10",531.5
8590699,"Cullen Hauser","2022-05-08 20:55:30",528.5
8555295,"Andre L Torres","2022-05-10 21:24:33",525.9
8486116,max_,"2022-04-16 22:22:12",519.8
8473735,"Alexey Vasilyev","2022-04-13 19:39:33",514.1
8516909,ZR,"2022-05-10 13:29:10",489.3
8549835,"Randy Boyes","2022-05-02 00:58:00",481.3
8496025,usakamex,"2022-04-28 17:11:59",464.7
8599171,"Julien Tardy","2022-05-11 04:05:02",462.5
8576649,"Marcus Daly","2022-05-10 19:05:42",433.0
8589436,KARMA,"2022-05-08 10:42:17",430.0
8469438,"Dmitry Fomin","2022-05-02 12:53:06",429.3
8533820,taken192,"2022-04-27 03:49:33",423.6
8472468,Sjain,"2022-04-14 16:44:24",422.6
8503043,kogni7,"2022-05-10 16:14:54",419.5
8512652,Team42,"2022-04-22 10:55:11",413.6
8479710,Osakana340,"2022-04-18 07:13:14",413.3
8474466,"SUN TZU","2022-04-14 04:48:04",405.8
8587568,"Duncan McKinnon","2022-05-08 00:22:53",400.7
8545409,huixiang,"2022-04-28 13:46:27",397.6
8512404,Electrosyan,"2022-05-06 16:04:42",396.2
8520834,yasuhiro,"2022-04-25 07:08:47",387.0
8485506,"matt p","2022-05-11 09:05:09",361.6
8587650,MJBM,"2022-05-07 01:15:05",361.6
8532587,istinetz,"2022-05-11 08:47:47",350.1
8572989,MNishii,"2022-05-10 02:59:02",341.3
8485331,KataYuji,"2022-05-01 12:59:56",330.8
8474414,"idk what I'm doing","2022-04-13 22:32:12",322.5
8482906,ERNI,"2022-04-18 16:17:24",307.9
8559136,"Sam Crerar","2022-05-02 12:48:09",286.8
8496898,"Lucas R","2022-04-18 15:38:51",286.4
8547694,"Alex Parkhomenko","2022-05-01 19:24:33",281.8
8469881,"Lyubomir Klyambarski","2022-04-25 18:59:03",278.1
8602967,YuliaKondratenko,"2022-05-10 13:42:00",273.9
8499983,ThisisTestaaaaa,"2022-04-19 06:00:02",272.2
8599746,"Nico Voigt","2022-05-11 09:27:36",255.5
8605350,"Aitor Arnaiz","2022-05-11 00:13:17",221.5
8470061,"Naruhiko Nakanishi","2022-05-02 00:41:33",214.2
8594058,toy101,"2022-05-10 09:47:30",202.6
8512658,kmest,"2022-04-23 01:07:51",178.7
8504554,"yui coiuyu","2022-05-09 00:56:11",173.3
8573240,siman,"2022-05-04 11:38:15",170.9
8507973,democatXamer,"2022-05-08 02:39:55",158.2
8476464,"John Tan Chong Min","2022-04-22 06:45:06",147.6
8557961,"Gromov Valentin","2022-04-30 16:57:51",137.6
8489443,KawattaTaido,"2022-05-03 18:16:43",63.5
8572965,Dapp,"2022-05-03 23:42:28",-36.8
8543977,evenmonk,"2022-05-09 15:08:37",-217.1
8571136,Anurag_muk,"2022-05-03 17:03:57",-222.7
8478103,"Gabriel Gazola Milan","2022-04-14 21:16:55",-300.4
